ZIP Code,County,SCAN Affirm,SCAN Inspired,SAN Allied,SCAN Strive ,SCAN Balance 
92842,Orange,Yes,Yes,No,Yes,Yes
92843,Orange,Yes,Yes,No,Yes,Yes
92844,Orange,Yes,Yes,No,Yes,Yes
92845,Orange,Yes,Yes,No,Yes,Yes
92846,Orange,Yes,Yes,No,Yes,Yes
92850,Orange,Yes,Yes,No,Yes,Yes
92856,Orange,Yes,Yes,No,Yes,Yes
92857,Orange,Yes,Yes,No,Yes,Yes
92859,Orange,Yes,Yes,No,Yes,Yes
92861,Orange,Yes,Yes,No,Yes,Yes
92862,Orange,Yes,Yes,No,Yes,Yes
92863,Orange,Yes,Yes,No,Yes,Yes
92864,Orange,Yes,Yes,No,Yes,Yes
92865,Orange,Yes,Yes,No,Yes,Yes
92866,Orange,Yes,Yes,No,Yes,Yes
92867,Orange,Yes,Yes,No,Yes,Yes
92868,Orange,Yes,Yes,No,Yes,Yes
92869,Orange,Yes,Yes,No,Yes,Yes
92870,Orange,Yes,Yes,No,Yes,Yes
92871,Orange,Yes,Yes,No,Yes,Yes
92885,Orange,Yes,Yes,No,Yes,Yes
92886,Orange,Yes,Yes,No,Yes,Yes
92887,Orange,Yes,Yes,No,Yes,Yes
92899,Orange,Yes,Yes,No,Yes,Yes
90001,Los Angeles,Yes,Yes,Yes,Yes,Yes
90002,Los Angeles,Yes,Yes,Yes,Yes,Yes
90003,Los Angeles,Yes,Yes,Yes,Yes,Yes
90004,Los Angeles,Yes,Yes,Yes,Yes,Yes
90005,Los Angeles,Yes,Yes,Yes,Yes,Yes
90006,Los Angeles,Yes,Yes,Yes,Yes,Yes
90007,Los Angeles,Yes,Yes,Yes,Yes,Yes
90008,Los Angeles,Yes,Yes,Yes,Yes,Yes
90009,Los Angeles,Yes,Yes,Yes,Yes,Yes
90010,Los Angeles,Yes,Yes,Yes,Yes,Yes
90011,Los Angeles,Yes,Yes,Yes,Yes,Yes
90012,Los Angeles,Yes,Yes,Yes,Yes,Yes
90013,Los Angeles,Yes,Yes,Yes,Yes,Yes
90014,Los Angeles,Yes,Yes,Yes,Yes,Yes
90015,Los Angeles,Yes,Yes,Yes,Yes,Yes
90016,Los Angeles,Yes,Yes,Yes,Yes,Yes
90017,Los Angeles,Yes,Yes,Yes,Yes,Yes
90018,Los Angeles,Yes,Yes,Yes,Yes,Yes
90019,Los Angeles,Yes,Yes,Yes,Yes,Yes
90020,Los Angeles,Yes,Yes,Yes,Yes,Yes
90021,Los Angeles,Yes,Yes,Yes,Yes,Yes
90022,Los Angeles,Yes,Yes,Yes,Yes,Yes
90023,Los Angeles,Yes,Yes,Yes,Yes,Yes
90024,Los Angeles,Yes,Yes,Yes,Yes,Yes
90025,Los Angeles,Yes,Yes,Yes,Yes,Yes
90026,Los Angeles,Yes,Yes,Yes,Yes,Yes
90027,Los Angeles,Yes,Yes,Yes,Yes,Yes
90028,Los Angeles,Yes,Yes,Yes,Yes,Yes
90029,Los Angeles,Yes,Yes,Yes,Yes,Yes
90030,Los Angeles,Yes,Yes,Yes,Yes,Yes
90031,Los Angeles,Yes,Yes,Yes,Yes,Yes
90032,Los Angeles,Yes,Yes,Yes,Yes,Yes
90033,Los Angeles,Yes,Yes,Yes,Yes,Yes
90034,Los Angeles,Yes,Yes,Yes,Yes,Yes
90035,Los Angeles,Yes,Yes,Yes,Yes,Yes
90036,Los Angeles,Yes,Yes,Yes,Yes,Yes
90037,Los Angeles,Yes,Yes,Yes,Yes,Yes
90038,Los Angeles,Yes,Yes,Yes,Yes,Yes
90039,Los Angeles,Yes,Yes,Yes,Yes,Yes
90040,Los Angeles,Yes,Yes,Yes,Yes,Yes
90041,Los Angeles,Yes,Yes,Yes,Yes,Yes
90042,Los Angeles,Yes,Yes,Yes,Yes,Yes
90043,Los Angeles,Yes,Yes,Yes,Yes,Yes
90044,Los Angeles,Yes,Yes,Yes,Yes,Yes
90045,Los Angeles,Yes,Yes,Yes,Yes,Yes
90046,Los Angeles,Yes,Yes,Yes,Yes,Yes
90047,Los Angeles,Yes,Yes,Yes,Yes,Yes
90048,Los Angeles,Yes,Yes,Yes,Yes,Yes
90049,Los Angeles,Yes,Yes,Yes,Yes,Yes
90050,Los Angeles,Yes,Yes,Yes,Yes,Yes
90051,Los Angeles,Yes,Yes,Yes,Yes,Yes
90052,Los Angeles,Yes,Yes,Yes,Yes,Yes
90053,Los Angeles,Yes,Yes,Yes,Yes,Yes
90054,Los Angeles,Yes,Yes,Yes,Yes,Yes
90055,Los Angeles,Yes,Yes,Yes,Yes,Yes
90056,Los Angeles,Yes,Yes,Yes,Yes,Yes
90057,Los Angeles,Yes,Yes,Yes,Yes,Yes
90058,Los Angeles,Yes,Yes,Yes,Yes,Yes
90059,Los Angeles,Yes,Yes,Yes,Yes,Yes
90060,Los Angeles,Yes,Yes,Yes,Yes,Yes
90061,Los Angeles,Yes,Yes,Yes,Yes,Yes
90062,Los Angeles,Yes,Yes,Yes,Yes,Yes
90063,Los Angeles,Yes,Yes,Yes,Yes,Yes
90064,Los Angeles,Yes,Yes,Yes,Yes,Yes
90065,Los Angeles,Yes,Yes,Yes,Yes,Yes
90066,Los Angeles,Yes,Yes,Yes,Yes,Yes
90067,Los Angeles,Yes,Yes,Yes,Yes,Yes
90068,Los Angeles,Yes,Yes,Yes,Yes,Yes
90069,Los Angeles,Yes,Yes,Yes,Yes,Yes
90070,Los Angeles,Yes,Yes,Yes,Yes,Yes
90071,Los Angeles,Yes,Yes,Yes,Yes,Yes
90072,Los Angeles,Yes,Yes,Yes,Yes,Yes
90073,Los Angeles,Yes,Yes,Yes,Yes,Yes
90074,Los Angeles,Yes,Yes,Yes,Yes,Yes
